,project_id,name,description,faqs,ended,open_date,close_date,goal,raised,currency
0,1181368,LT Vive,"Short Summary 
 The LT Vive is one of the best designed smartwatches of all time. The simple and elegant design allows for the smartwatch to be a lot more than fashionable. Our custom OS allows the user to take control of their experience. With your help we can establish an amazing watch that will make your everyday tasks much simpler. 
 Features 
 Gorilla Glass 2 Full Color Touch Sensitive LCD Display 
 Voice Controls so you can respond to notifications hands-free 
 A Custom Operating System that allows you to take control and customize the watch to your liking 
 Compatibility with Android and iOS 
 One of the best smartwatch designs of all time 
 Bluetooth Connectivity",[],True,2015-03-25 15:41:52-07:00,2015-05-04 23:59:59-07:00,100000.0,80,USD
1,1203512,"Lock, Stock and Trick","Many thanks to our Funders ! 
 About the project. 
 For creation of this game I was inspired by the story of
my friend. 
 He lived in the heart of Chicago in 1920. It was a time of Al Capone. 
 This is an interesting game with its own strategy, is not
like other games. 
 We came up with a fascinating rules for your friends. We have worked with the well-known designer
of high-level and day by day thought about the rules. Age 10+ 
 The game is based on the positive and negative characters,
rescue and trick`s. 
 Be careful and follow the game, otherwise you will be
Tricked! 
 Choose your role! 
 Check us out on 
 http://mamasmiths.com/2015/04/tricktrick-card-game.html 
 Our steps... 
 The result is ... 
 125 Cards deck ! 
 We have added a lot of languages (rules and hints) : 
 English 
 France 
 German 
 Spain 
 Japan 
 Chinese 
 And more, more, more... 
 Our funders get: 
 Trick deck 
 Limited
edition deck for collector`s 
 Signed deck! 
 You`ll
never seen it in stores, only at Indiegogo! 
 Help us to
start this game! 
 Thank you ! 
 Risks 
 This card game is simple for production. So we will start as soon as campaign ends !",[],True,2015-03-30 13:20:29-07:00,2015-05-14 23:59:59-07:00,7000.0,850,USD
2,1093618,GT Traveler - Android based Live Interpreter,"All those times 
 How many times you were going on holiday in a country where you do not know the language and to communicate you used a dictionary? Or better yet, how many times would you be able to speak that language, without having to study for years? 
 I bet you even tried many times to use your smartphone, but sometimes the roaming costs as much as the hotel room or even more. 
 Now, you can talk to anyone from everywhere...with the push of a button. 
 Don't you like that idea? 
 What is Our Solution 
 With the latest updates, the translation apps are doing all those translations that we need, but most of times they need an internet connection..and if you use your smartphone to take pictures too then your battery will be dried out faster than you'd expect. 
 Our solution is GT Traveler, an Android based Live Interpreter that uses the Google technology to translate simultaneously the conversation that you have with another language native speaker. 
 No display, no useless apps or features, only what's necessary to communicate...and a big battery that could last days between charges. 
 The Result 
 From now on, with Gt Traveler, you'll be able to express yourself everywhere in the world without using big and annoying dictionaries or smartphone apps that leave you without phone battery. 
 The GT Traveler translated simultaneously from and to English and other language as: German, Spanish, Portuguese, French, Italian, Japanese and many more 
 From now on... 
 ...you'll be able to say ""vorrei in caffe macchiato ed un cornetto"" without knowing a bit of Italian, or ""Esta plaza es muy Hermosa"" without knowing to speak Spanish. 
 Awesome, right?! 
 Other Ways You Can Help 
 If you can't contribute, please make some noise about GT Traveler and share with your friends too. 
 Help us get GT Traveler some travels around the world",[],True,2015-01-19 06:32:52-08:00,2015-03-20 23:59:59-07:00,45000.0,353,USD
3,584822,Afterglow Miniatures Game: Forsaken,"The Afterglow Miniatures Miniatures Game is a tabletop strategy game designed for two or more players, set in a grim world devastated by an apocalypse. 
 Players lead bands of survivors who clash against each other in a struggle for survival among the ruins of towns, burned-out wastelands and underground bunkers. 
 The game, based on the 
 intuitive mechanics, 
 is 
 fast and dynamic. 
 Depending on the format it takes 
 from 40 to 90 minutes 
 to play, while the number of miniatures in warbands varies 
 from 4 to 20 models 
 , depending on the chosen faction. 
 Afterglow is different from many other wargames. First of all, 
 it is a game of survival 
 . Victory is not always on the side of those who deal the biggest damage to the opponent. 
 S 
 cenarios and Mission Cards 
 provide an opportunity to win the game without firing a single shot, relying on the player's intelligence, strategic planning skills, anticipation of opponent's moves and clever use of unit skills and abilities. 
 We have also 
 created a system of playing campaigns 
 - connected scenarios, during which members of your warbands can gain experience, develop skills, plunder and find new equipment, but also sustain permanent injuries, fall victim to diseases and mutations or eventually die. 
 The game is becoming increasingly popular in Poland. For over a year we have been organizing meetings and tournaments, where you can meet many amazing people and test yourself as leader of a post-apocalyptic gang. Now we would like to present Afterglow to players and miniatures enthusiasts in other countries. 
 Download free beta rules and take part in the open tests. 
 At the moment 
 five factions are available 
 for Afterglow MG. Each of them delivers a different playing style and aesthetic feel. 
 Now we would like to offer you the sixth faction, 
 long awaited by many Afterglow players and fans. 
 Forsaken 
 are rejects of post-apocalyptic societies. Their ranks include outlaws, mutants, cannibals and those infected with the Black Mouth disease. 
 Forsaken are driven by rage. They attack with unusual ferocity and brutality, showing no mercy nor compassion. Their sole motivation is to fight, plunder and feast on their victims. This is a faction focused on an offensive playing style and close quarters fighting. 
 The main goal of this campaign is to release the Starter Set for a new Afterglow faction - Forsaken. 
 A Forsaken Faction Starter Set is not all we can offer you. If your support reaches levels indicated below, we will be able to release even 
 more Afterglow miniatures and accessories 
 . 
 Check out Stretch Goals 
 , help us to unlock them and 
 expand your warbands! 
 Shipping cost may vary, depending on chosen pledges and countries. 
 Poland shipping costs 
 - FREE! 
 EU shipping costs 
 – from 3 EUR (from 
 Thug 
 to 
 Mechanical Death 
 pledges) to 10 EUR (package full of miniatures, accessories, terrains and other goodies). 
 Worldwide shipping costs 
 - from 5 EUR (from 
 Thug 
 to 
 Mechanical Death 
 pledges) to 20 EUR (package full of miniatures, accessories, terrains and other goodies). 
 Afterglow is a project of White Tree - a small company from Poland, dedicated to the games hobby. We are long-time gamers and hobbyists. Our main goal is to create games and miniatures ""by players for players"". 
 We collaborate with a group of talented artists to make sure that the products you buy are of supreme quality. 
 Oskar Walczewski 
 - Afterglow creator, rules designer and founder of White Tree. Gamer, miniatures painter, historian and music enthusiast. 
 Sylwia Popiel, Jakub Kosla 
 and 
 Maciej Jastrzebski 
 - miniatures quality assurance team. 
 Konrad Sałek 
 - Chief Critic of Afterglow 
 Michał Bury 
 - Master of Tables and Numbers 
 Artwork & Graphics 
 Piotr Foksowicz 
 Jarosław Marcinek 
 Piotr Wyskok 
 Sebastian Zakrzewski 
 Sculptures 
 Eliasz Gola 
 Victor Hugo 
 Kamil Milaniuk 
 Irek Zieliński 
 Translation into English 
 Tomasz Potocki 
 White Tree has been 
 operating since 2012 
 . We sell our products online and through hobby stores, and we have 
 many satisfied customers 
 . You can read more about our company on our website: 
 www.white-tree.pl 
 In previous years we conducted 
 two successful crowdfunding campaigns 
 through Polish crowdfunding platform - Wspiera.to. After both campaign 
 backers received their pledges as expected 
 . 
 With this campaign, flexible pledges mean that you can be 
 100% sure you will receive your pledge 
 after the campaign ends. 
 We are continually learning and gaining experience in order to produce miniatures, accessories and games of the highest quality. Therfore we are confident that we can overcome any risks and challenges that could arise in the course of this campaign. 
 If you like our project help us spread the word about it. Letting your friends, colleagues and family know about Afterglow can be of great support to us. 
 Share information about this campaign and Afterglow through your social media profiles (Facebook, Twitter, forums etc.). 
 Please find Afterglow banners and graphics available below. Feel free to use them on your websites or social media profiles. 
 Thank you very much! 
 Cheers! 
 Oskar Walczewski & the White Tree Team 
 * All miniatures are sold unassembled and unpainted. 
 ** Some of the presented products and artwork are concept art and may differ slightly from the final versions.",[],True,2016-07-15 07:38:43-07:00,2016-08-24 23:59:59-07:00,2000.0,1254,EUR
4,1117978,Vector Jiu-Jitsu:    Breaking the Cycle,"Who are we? 
 Founded by a husband and wife team of teachers, the Vector Jiu-Jitsu program (in Jackson, Mississippi) has been forging wildly fruitful mentoring relationships with children battling a devastating cycle of poverty, crime and violence in their beloved neighborhoods for the past 2 years. 
 Nikari is just one example of these fruitful relationships.  When he began training in the Vector Jiu-Jitsu program, he was an 18 year old sophomore in high school with no interest in graduation.  An innately gifted young man, with a father in prison, and a family struggling with poverty, Nikari was plagued by depression. 
 With the martial arts training and mentoring guidance he was empowered with in Vector, Nikari is now the first male high school graduate in his family's history.  He's enrolled in college, eagerly seeking to be one of Vector Jiu-Jitsu's first 
 paid interns 
 as we seek to expand this powerful impact to youngsters around the City of Jackson! 
 ""Make an effort, not excuses.""  has become his mantra. 
 What do we do? 
 Our program motto is: KNOW YOURSELF, BETTER YOURSELF & HELP OTHERS 
 KNOW YOURSELF 
 :  Training in martial arts (in particular, Brazilian Jiu-Jitsu) uniquely allows students to learn more about who they are and what they are capable of.  Training reveals truth, pure, inescapable truth about oneself. This is an opportunity rarely enjoyed in today's world. 
 BETTER YOURSELF 
 :  Whether it be discipline, health, or academics - the children of Vector Jiu-Jitsu must confront personal shortcomings and demand better from themselves.  They are held accountable for these improvements by adult mentors who spend approximately 10 hours a week with them, either in training, tutoring or general socialization. 
 HELP OTHERS 
 :  Children in the program constantly serve their community.  Neighborhood beautification, organic gardening, assistance to the elderly and various other outreach efforts are constantly evolving for our students to internalize the great satisfaction of a service lifestyle. 
 (showing our classmates and Principal how to make fresh juice at school) 
 Why Vector Jiu-Jitsu? 
 The children of Jackson are not safe walking home & the academic achievement gap grows daily.  Despite millions being spent in education...too many young ones with vast intellectual potential have failed to find an identity or source of personal pride outside of the comfort of gang-life or scholastic malaise. 
 Lacking powerful, positive adult influences, many children will remain unable to make the proper choices to set their lives up for success. 
 With your help, Vector Jiu-Jitsu will service more & younger children in the city.  We can provide 500+ children with a 
 permanent 
 outlet for physical, mental and emotional development. 
 WE  BELIEVE  WE  CAN  CHANGE  A  CITY.... DO  YOU? 
 Funding Use 
 $15,000 - Expansion of services to elementary schools & day care centers! 
 $15,000 - Paid internships for 2-3 senior students 
 $15,000 - Transportation (one of our biggest challenges) 
 $15,000 - Team travel to competitions & tournaments (our biggest motivator) 
 $15,000 - College & Career Readiness Training 
 Now its YOUR TURN! 
 Personally invite others to help empower these YOUNG LEADERS to revolutionize their city from within. 
 Email this campaign link to your contact list! 
 SHARE our campaign on Facebook, Twitter, Instagram.... 
 Privately message friends & acquaintances looking to support proven charities 
 ""MAKE AN EFFORT... NOT EXCUSES""  -Nikari",[],True,2015-02-10 07:23:31-08:00,2015-03-22 23:59:59-07:00,75000.0,2385,USD
5,1164509,Island of Pandora,"All the money will be used to pay for the work of experts and purchase of licensed software. 
 If we collect more then we need, we run additional servers and add more supported languages. 
 The 
 IsPandora 
 is a role multiplayer game, which takes place in a fictitious universe.  The game setting is a post apocalyptic fantasy. 
 Although the game is multiuser, the gameplay is well-planned, balled up and has several endings depending on player’s actions. 
 The actions of every player can influence on the whole playing world and other players in one form or another. 
 The gameplay will include such items as: 
 Research 
 PVP battles and tasks 
 PVE quests 
 Hunting 
 Craft 
 Theft 
 Magic 
 Resource extraction (Prospecting) 
 Rest and recreation) 
 Descriptions of gameplay 
 We try to make the world the most authentic. 
 Doing everything to the game was cozy 
 And we try to go all out to make our game was really good quality!",[],True,2015-09-05 14:08:21-07:00,2015-11-04 23:59:59-08:00,8000.0,12,EUR
6,1203190,Life of Rome MMORPG,"Interviews/Press 
 ""This might possibly be the most ambitious game for the Oculus Rift yet"" 
 - 
 The Rift Arcade 
 ""Life of Rome aims to put roleplaying front and center"" 
 - 
 Massively 
 ""One of the first of its kind, trying to accurately portray ancient Rome with the help of the Oculus Rift headset"" 
 - 
 VRFocus 
 Updates 
 #1: 
 Development Update 1 
 Life of Rome is a third and first-person massively multiplayer online action role playing game (MMORPG) set in 320AD Rome. The game is played from the point of view of both Roman and Barbarian; designed to emphasise roleplay and community using a faction system and player-driven politics. The in-game world is a 50km2 representation of Rome and its surrounding areas, including several small villages and Roman forts. 
 We are an independent team called Breakout Studio, passionate to create a game we’ve been wanting to play. The game started development in February 2014, since then we’ve been following feedback from the community. This has helped us to build and adapt our roadmap to create a game we all want to play. 
 Players interact with each other in a series of locations spread across the area. Major roleplaying-based storylines, purely optional, will be started and run by Breakout Studios staff as well as players. Players in a position of power may also affect gameplay by setting a faction’s agenda, creating long-term political, economic, or military goals, which are broken up into missions handed down through a faction’s hierarchy in the form of player generated and driven missions. 
 Factions & Race 
 Race and Faction are entirely separate choices. All races can choose allegiance to the Roman State or to the Barbarian Rebels. Race is more of a cultural choice and will come with a unique faith option and prestige item. Race will largely be a matter of roleplay and how you choose to play your character. 
 Faction allegiance is something that can be chosen at the beginning of your journey, however allegiance can be switched although this comes with a heavy Prestige debuff and it not something you can do on a daily basis. You are able to make a pledge of allegiance to either faction, and not make another one for a game year, or month, or reasonable period of time. 
 Crafting 
 To have all of the things you need and want, players will have to travel around the world and interact with others positively or negatively – In turn this will encourage travel and trade for both factions. This will stimulate politics within factions, as well as against the opposing faction. Having resources spread across the map will encourage crafting specialisation. 
 Real Time Combat 
 Unlike many traditional MMORPG’s, we’re approaching combat as organically as possible. We want to give the player a chance to learn, adapt and increase their skills in combat through realistic training. Timing will be crucial – when you attack, block or dodge will determine survival, as well as the power you put behind an attack and how close you stand to the enemy. 
 Your actions will effect your Prestige. If you are Roman allegiance, enemy kills will increase prestige, but killing your own faction will decrease it. Barbarian allegiance will  receive prestige for combat regardless of whether they kill Romans or Barbarians. Your prestige will be the sum of all of your parts, all of your skills, stats, attributes, faith bar, and valuable possessions in game such as armour, weapons, livestock, fine clothing, jewellery and decorative items and any land you own, money, titles you hold and reputations you have. Prestige can also be the measure of whether you are classed as a noble or a plebeian for Romans and a Noble or a Freeman for Barbarians. 
 Religion 
 This mechanic can reflect real practices performed by ancient people, brought into game as a way of boosting craft specialisation, and as part of a faith and healing system. High faith will also contribute to your overall Prestige score. Faith drains very slowly and would be a more long term goal than others. 
 A player would raise their faith bar by praying to particular gods, or by making offerings or sacrifices at their home fire, the town fire or a temple. In return sometimes their prayers will be heard by the gods (by chance, depending on how high a person’s faith is, where and what has been offered) they will receive a temporary bonus, related to the god they made the offering to, which will affect a particular crafting operation, combat, one of their attributes or stats, or bars. 
 Weather 
 The world features a full 24 hour day & night cycle complete with a range of dynamic weather effects. It renders physically based realtime atmospheric scattering, dynamic wind speed & direction and continuous dynamic moon phases. 
 Your characters ‘Comfort’ can be affected by the weather – staying sheltered during rain or keeping warm during the night will help keep your comfort level’s normal. This also applies to the suitability of the clothes you are wearing for the the task at hand, for example – working a furnace may decrease comfort, but visiting the bathhouse or taverna afterwards will negate the effects. 
 Oculus Rift 
 Life of Rome 
 supports the Oculus Rift head-mounted display (HMD), the first video footage of the game running on an Oculus DK2 shows brief snippets of the Roman architecture and characters. Recorded from a first-person perspective, it gives an idea of how the game looks and feels from the eyes of a Roman character. 
 Working with little budget, support is what we need most. If you would like to offer your services in any way, we would love to have you on board! Please contact 
 support@lifeofrome.com 
 You can visit our official Forum, Facebook, Twitter, IndieDB and Youtube channel. We will also be regularly posting updates in the form of Dev Blogs and Videos on our website and 
 Steam Greenlight 
 page. 
 www.lifeofrome.com 
 forums.lifeofrome.com",[],True,2015-03-30 06:24:38-07:00,2015-05-29 23:59:59-07:00,10000.0,361,GBP
7,1321538,Puck Passport: Track every NHL game you attend,"Hello Out There, We're On The Air 
 We're 
 Sports Passport 
 . Since 2013, we've offered baseball, basketball and football fans a simple, fun and competitive way to keep track of every game they've attended. 
 With our websites, fans can log old ticket stubs, view teams' records and top player performances when they've been in attendance, create stadium bucket lists, and compete with other fans in arena-chasing challenges. 
 Hardball Passport 
 , 
 Basketball Passport 
 and 
 Football Passport 
 have generated over 300,000 game checkins by our registered travelers. The sites have been featured in 
 Sports Illustrated 
 , 
 Sporting News 
 , 
 Sports On Earth 
 , 
 New York Daily News 
 , 
 New York Magazine 
 , 
 NBA.com 
 , 
 SLAM 
 , as well as many podcasts and blogs around the sports internet. 
 ""You know that drawer filled with ticket stubs you can't bring yourself to throw away? Thanks to Passport, you may finally be able to clean house."" 
 — 
 Sports Illustrated 
 ""Hardball Passport is an absolute must for baseball fans."" 
 — 
 Will Leitch, Deadspin Founder 
 ""Players get box scores. Why not fans, too?"" 
 — 
 Thomas S. Owens, Baseball Author 
 But there's something missing. Sports Passport currently covers three of the four major U.S. sports. Completing the square is where you come in. 
 It's A Great Day For Hockey 
 Hockey is a sport that requires serious devotion. Whether you're up north digging a car out of a January blizzard to get to the arena, or down South counting down to NHL Opening Day while everyone else is in football mode, love for the game is never skin-deep. For the past two years, hockey lovers have wanted a Passport of their own. We heard you. This summer, we want you to help us finally make Puck Passport a reality. 
 Great Moments Are Born From Great Opportunity 
 Puck Passport will provide everything that Hardball, Basketball and Football Passports already provide, but with a lot more slapshots and high sticking. Like our other products, we'll cover: 
 Where You've Been: 
 a comprehensive game database from 1980 to present 
 Where You Are: 
 game check-ins and a local game locator 
 Where You're Going: 
 arena bucket lists, competitive arena-chasing challenges and three-click road trip planning 
 Puck Passport will be the serious hockey fan's digital shoebox of ticket stubs, a community for collecting and sharing memories and photographs, and a way to plan a hockey road trip to test even the strongest marriage. There will be no place quite like it. 
 Put The Biscuit In The Basket 
 We are seeking at least $7,000 in funding to make Puck Passport happen in time for the 2015-16 NHL season. Those funds will go towards: 
 Design and construction of the user interface 
 Graphic design of the site's visual elements 
 Research and development of a database that doesn't exist yet: a statistically detailed, geotagged collection of every NHL game since 1980 
 Daily updates during the 2015-16 season via a reliable paid stats feed 
 Once you've helped us get off the ground, Puck Passport will remain healthy and financially viable with the help of our paid premium product. For an annual fee, Passport Plus lets travelers view personalized, detailed, shareable player stats. Which player has the most goals when you're in attendance? Penalty minutes, saves, assists? Plus gives you the answers. 
 You Miss 100% Of The Shots You Don't Take 
 Our primary challenge is time. We are beginning this campaign in late June, and the NHL season begins October 7. That gives us 100 days to raise funds, pay contractors, build databases, beta-test the site, and launch. Nobody said hockey was easy. 
 If we raise less than 
 $7,000 
 , we will launch the site in a limited fashion: three years' worth of game data and no Plus features. We will reopen fundraising and aim to launch the remainder of the features by the NHL All-Star Game. 
 If we raise less than 
 $3,000 
 , we will delay the entire Puck Passport launch, keep fundraising open, and aim to launch for the 2016-17 season. 
 If we raise less than 
 $1,000 
 , we'll return the funds and this never happened, just like the 2004-05 NHL season. (Sorry, still too soon.) 
 If we end up exceeding our goal, however, we will add features like NCAA and/or Canadian Junior league games. The bigger our database is, the better the site will be, and the more fun we'll be able to offer Puck Passport's registered travelers. 
 The Final Flick 
 Thank you for considering supporting our project. We're looking forward to use our experience and track record to build a fun, exciting resource for anyone who loves the game of hockey. And because you're helping us to build it through Indiegogo, it will always belong to you: the fans.",[],True,2015-06-24 20:57:06-07:00,2015-07-24 23:59:59-07:00,7000.0,2595,USD
8,1561714,Help us to start Up a video games store,"Our Story 
 Our founder Mior has an idea to start selling Video Game at affordable price.The idea start when he and his friends wanted to buy game in game store near his house. 
 They are not a rich people and struggling for buying a new thing,His overcome addiction start when they tried to buy a new game but the price not allow them buy that game. 
 So he Decided to start his own physical and online game store to serve the community and online buyer to help them to buy a game at reasonable price. 
 The Mission 
 The aim of this fundraiser is to raise money to open a 
 KapitalisGaming Store 
 that will provide a video game at cheaper price, So the poor will get the chance to play the game, and a safe haven for people who loved to play Playstation and Xbox game,or even nintendo console, Or other gamer's that tried to buy game at discounted price. This fundraiser is For the communities to buy games at lowest price. 
 1). 
 Cheaper Price: 
 We will Bring the best game title  to the communities, so they can enjoy new game at cheapest price. We will try to make sure the price is cheapest in town . 
 1). 
 Free Shipping: 
 We aim to give free shipping to all our customer,So they can enjoy buying games with no extra charges.Once it's Free,It will Forever be Free .We Will serve our communities with the best service.Together, we can help to make sure this Mission Accomplish. Your gift will save your budget for shipping cost forever. 
 1). 
 After Sale Service: 
 We will make sure that you will get the best After sell service from us. 
 2). 
 More Discount during sale: 
 The backpacker will get the fastest and highest discount from us using email or coupon code.They will get discount for every sale and forever 
 The First design for our Physical Game Store 
 Online GameStore for Worldwide Buyer 
 We also wanted to start a webstore to sell online and give the best online experience to all our customer. 
 Reward And Perks 
 We have a wide array of perks / rewards for you to choose from. We will be updating the designs in the upcoming days / weeks and we will be adding more perks for you shortly. 
 1). 
 $ 
 1: 
 This perk is for people who just want to contribute to the campaign and just want to see it succeed. All money raised will go towards opening the Game Store and all proceeds from the Store 
 go towards charities and help poor in need to play a game. HIGH 5 from Mior! 
 2). 
 $5: 
 Become a member of KapitalisGaming! By getting this perk you will be contributing to a good cause and helping us build community for our Store.Member will get discount.You will receive a mail Registration from Mior  after the campaign. 
 3). 
 $20: 
 You get a KapitalisGaming mug and a personalized letter from Mior, to say thank you for contributing to our fundraiser. 
 4). 
 $40: 
 Doodle Design T-shirt for Our best customer 
 5). 
 $50: 
 Opening Night party for our opening Ceremony 
 6). 
 $100: 
 Opening Night party (VIP) for our opening Ceremony 
 7). 
 $250: 
 You get Your name on our Game Store wall, as a donor to the Cafe. You also get a free visit to the KapitalisGaming store with 1 guest and we will photograph you and our founder Mior by the wall when you come to visit. 
 8). 
 $500: 
 You get to have afternoon tea with Mior and our store crew. You also get the All Time Discounted Pass to buy a game at discounted price forever at any time you bought from us. You also get a personalized letter from Mior, to say thank you for contributing to our fundraiser. We will contact you after the campaign to schedule a time and place for the afternoon tea. 
 All Backpacker Will be noticed by email and will get a discount coupon when the Sale held. 
 Why Funraiser is Important 
 Crowdfunding is an absolutely wonderful way to include 
 fundraiser 
 to the project. Not only do we want to help poor people to play the game,We also aim this community to feel being a part of this process, we invite you to 
 give us feedback and ideas 
 and help us perfect our concept. We want to know what kind of Concept of our store would you  like the most. 
 We want to do this together with all of You, our amazing and loving fans! 
 Also opening a Kapitalisgaming is very costly indeed so we do need the financial help as well. Also the more people get behind the project, the easier it will be convincing city official and other legal entities of our project. Crowdfunding is a great tool that gives the people the power to choose what kind of cafe’s, business’s or other ventures are set up in their home towns or cities.",[],True,2015-12-06 08:35:53-08:00,2016-02-04 23:59:59-08:00,30000.0,6,USD
9,1493309,Adventure RPG where YOU control your experience!,"Short Summary 
 When I was a teen, I played many browser based RPG games, but one in particular is what fueled me to learn how to code my own. The owner of that game never talked to most of his players and only logged on to take donations and then left. It was then I vowed I could do better. I taught myself how to code and made my own game where I actually interacted with my players, making lasting friendships with people who still play my game 8 years later, through all of the different versions. Being in poverty my whole life, I could never afford hosting for my game consistently, meaning I had to stop and start over a lot. I am finally at a point in my life where I can afford stable hosting and invest in my game, where I want each and every player to know I'm available and I want them to have a great gaming experience, one that molds to their choices, one where there are always multiple choices and you are never stuck on one path if you change your mind after a choice. I want my game to be the player's game, too. I wach each player to know their game experience is different than anothers. To do this, I need help raising money to invest more time and resources. 
 What We Need & What You Get 
 To begin, we're raising $500 to put towards hosting, development, and most importantly, the look of the game. We are in talks with a pixel artist who will create the characters, items, icons and more needed for an aesthetically pleasing gameplay experience. No one wants to stare at text and buttons all the time. Our players want to see that epic sword they just looted off of a dungeon boss. Our players want to see what their character looks like now that they bought and equipped that awesome new blue mohawk they just purchased from the premium store. Our players want to see that special icon that only a Game Master has next to their name in chat and the forums. We need to add imagery that shows just how exciting that new NPC is in town that is selling the awesome items you can now see the icons to! 
 The Impact 
 Since the day I started to learn how to code, creating an excellent and addictive gameplay experience for anyone who played my game has been my dream. This campaign will allow me to bring so much more to the game, which in turn brings more to the players, which is my ultimate goal. This game has been my baby since 2007, and I am determined to get to the final stage of development to provide a bug-free, action-packed, fun-filled gaming experience that is different for each and every player. I know with your help, we can get there! 
 Other Ways You Can Help 
 Even if you can't donate money, donating your time and goodwill by sharing this campaign, or even playing the game and testing it would be greatly appreciated!",[],True,2015-10-14 17:49:33-07:00,2015-11-28 23:59:59-08:00,500.0,55,USD
